provincia_reserva,concepto,filtrado,categoria
unidam segundo curso del grado de infantil para no maestros,admision,segundo curso del grado de infantil para no maestros,residual
unidam segundo curso del grado de primaria desde fp,admision,segundo curso del grado de primaria desde fp,residual
unidam segundo curso del grado de primaria desde primaria (no finalizado),admision,segundo curso del grado de primaria desde primaria (no finalizado),residual
unidam segundo curso del grado de primaria desde título homologado,admision,segundo curso del grado de primaria desde título homologado,residual
unidam segundo curso del grado de primaria desde título no homologado,admision,segundo curso del grado de primaria desde título no homologado,residual
unidam segundo curso del grado de primaria para no maestros,admision,segundo curso del grado de primaria para no maestros,residual
unidam segundo curso del grado de primaria primer curso,admision,segundo curso del grado de primaria primer curso,residual
unidam segundo curso del grado de psicología,admision,segundo curso del grado de psicología,residual
unidam segundo curso del grado de psicología desde fp,admision,segundo curso del grado de psicología desde fp,residual
unidam segundo curso del grado de psicología desde psicología (no finalizado),admision,segundo curso del grado de psicología desde psicología (no finalizado),residual
unidam segundo curso del grado infantil desde fp,admision,segundo curso del grado infantil desde fp,residual
unidam segundo curso del grado infantil desde técnico de educación infantil,admision,segundo curso del grado infantil desde técnico de educación infantil,residual
unidam segundo curso del grado primaria desde técnico de educación infantil,admision,segundo curso del grado primaria desde técnico de educación infantil,residual
unidam segundo curso grado de psicología para titulados,admision,segundo curso grado de psicología para titulados,residual
unidam sexto curso del grado primaria,admision,sexto curso del grado primaria,residual
unidam tercer curso del grado de infantil desde infantil (no finalizado),admision,tercer curso del grado de infantil desde infantil (no finalizado),residual
unidam tercer curso del grado de infantil para no maestros,admision,tercer curso del grado de infantil para no maestros,residual
unidam tercer curso del grado de primaria desde primaria (no finalizado),admision,tercer curso del grado de primaria desde primaria (no finalizado),residual
unidam tercer curso del grado de primaria desde título no homologado,admision,tercer curso del grado de primaria desde título no homologado,residual
unidam tercer curso del grado de primaria para no maestros,admision,tercer curso del grado de primaria para no maestros,residual
unidam tercer curso del grado de psicología,admision,tercer curso del grado de psicología,residual
unidam tercer curso del grado infantil,admision,tercer curso del grado infantil,residual
unidam tercer curso del grado infantil desde fp,admision,tercer curso del grado infantil desde fp,residual
unidam tercer curso del grado infantil desde técnico de educación infantil,admision,tercer curso del grado infantil desde técnico de educación infantil,residual
unidam tercer curso del grado primaria,admision,tercer curso del grado primaria,residual
unidam tercer curso del grado primaria desde fp,admision,tercer curso del grado primaria desde fp,residual
unidam tercer curso del grado primaria desde pau (prueba de acceso a la universidad),admision,tercer curso del grado primaria desde pau (prueba de acceso a la universidad),residual
unidam tercer curso del psicología desde psicología (no finalizado),admision,tercer curso del psicología desde psicología (no finalizado),residual
unidam tercer curso grado de psicología para titulados,admision,tercer curso grado de psicología para titulados,residual
grado de primaria para graduados en cafd,admision,grado de primaria para graduados en cafd,no maestro
