provincia_reserva,concepto,filtrado,categoria
CEIE Grado de Psicología para titulados (2do año 2do semestre),admision,Grado de Psicología para titulados (2do año 2do semestre),residual
CEIE Grado de Psicología para titulados (2º año 2º semestre ),admision,Grado de Psicología para titulados (2º año 2º semestre ),residual
CEIE Grado de Psicología para titulados (2º año 2º semestre + 3º año 1er semestre),admision,Grado de Psicología para titulados (2º año 2º semestre + 3º año 1er semestre),residual
CEIE Grado de Psicología para titulados (2º año 2º semestre),admision,Grado de Psicología para titulados (2º año 2º semestre),residual
CEIE Grado de Psicología para titulados (2º año 2ºsemestre),admision,Grado de Psicología para titulados (2º año 2ºsemestre),residual
Residual UCAM Mención en Audición y Lenguaje desde Grado de Primaria UCAM,admision,Residual Mención en Audición y Lenguaje desde Grado de Primaria UCAM,residual
Residual UCAM Mención en Lengua Extranjera (Inglés) desde Grado de Primaria NO UCAM,admision,Residual Mención en Lengua Extranjera (Inglés) desde Grado de Primaria NO UCAM,residual
RESIDUAL_UNIDAM Grado de Infantil desde Grado de Primaria,admision,RESIDUAL_Grado de Infantil desde Grado de Primaria,residual
RESIDUAL_Nebrija Grado de Primaria desde Diplomatura de Infantil_TFG,admision,RESIDUAL_Grado de Primaria desde Diplomatura de Infantil_TFG,residual
RESIDUAL_UNIDAM Grado de Primaria desde Grado de Infantil,admision,RESIDUAL_Grado de Primaria desde Grado de Infantil,residual
RESIDUAL_Grado de Ed. Primaria para Licenciados,admision,RESIDUAL_Grado Primaria para Licenciados,residual
RESIDUAL_Mención UCJC en Audición y Lenguaje (desde Grado NO UCJC en Primaria),admision,RESIDUAL_Mención en Audición y Lenguaje (desde Grado NO en Primaria),residual
RESIDUAL_UNIDAM Segundo curso del Grado de Primaria para No Maestros,admision,RESIDUAL_Segundo curso del Grado de Primaria para No Maestros,residual
